_NAME_;_PRICE_;_CATEGORY_;_IMAGE_;_ATTRIBUTES_;_MODEL_;_META_DESCRIPTION_
Электрокотел ЭВАН NEXT-12;13790;Котлы отопительные|Электрические котлы;https://www.pogodavdome73.ru/pictures/product/big/8069_big.jpg;"Характеристики|Ширина|20.5 см
Характеристики|Глубина|10.5 см
Характеристики|Высота|60 см
Характеристики|Вес|8 кг
Характеристики|Количество контуров|одноконтурный
Характеристики|Отапливаемая площадь|96 м²
Характеристики|Тепловая мощность|12 кВт
Характеристики|КПД|99 %
Характеристики|Циркуляционный насос|нет
Характеристики|Напряжение|380 В
";KSO-УУУУ03501;Купить Электрокотел ЭВАН NEXT-12 в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар.
Электрокотел ЭПО-30-1 (14061+ пульт 15345);34490;Котлы отопительные|Электрические котлы;https://www.pogodavdome73.ru/pictures/product/big/7900_big.jpg;"Характеристики|Ширина|27 см
Характеристики|Глубина|22 см
Характеристики|Высота|56.5 см
Характеристики|Вес|15 кг
Характеристики|Тепловая мощность|30 кВт
Характеристики|КПД|99 %
Характеристики|Материал теплообменника|нержавеющая сталь
Характеристики|Напряжение|380 В
Характеристики|Материал корпуса|металл
Характеристики|Тип розжига|электроподжиг
";KSO-А1144;Купить Электрокотел ЭПО-30-1 (14061+ пульт 15345) в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар.
Электрокотел ЭПО-4;10990;Котлы отопительные|Электрические котлы;https://www.pogodavdome73.ru/pictures/product/big/12048_big.jpg;"Характеристики|Ширина|27 см
Характеристики|Глубина|27 см
Характеристики|Высота|56.5 см
Характеристики|Вес|15 кг
Характеристики|Защита от перегрева|есть
Характеристики|Количество контуров|одноконтурный
Характеристики|Отапливаемая площадь|30 м²
Характеристики|Способ установки|напольный
Характеристики|Тепловая мощность|4 кВт
Характеристики|КПД|93 %
Характеристики|Циркуляционный насос|нет
Характеристики|Напряжение|220 В
";KSO-А1145;Купить Электрокотел ЭПО-4 в Пензе с бесплатной доставкой по России. Выгодная цена, оплата при получении, скидки и акции, гарантия. Описание, фото и отзывы на товар.
